OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
346653,232761137,10/3/2023 8:39:03 PM,10/3/2023 6:19:00 PM,10/3/2023 6:43:00 PM,Tuesday,3,3,312,221 CLEVELAND AVE SE,Convenience Store,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.382049,33.680533,Rosedale Heights,Z,12,Part II,,8780abd7-5c14-443f-8d59-329d4d884ec8,-84.3820489999999,33.680533
345873,232760989,10/3/2023 8:53:48 PM,5/3/2023 4:00:00 PM,10/3/2023 4:12:00 PM,Wednesday,4,1,113,1212 JAMES JACKSON PKWY NW,Residence/ Home / Apartment / Condo,26B,Credit Card/Automated Teller Machine Fraud,PROPERTY,N,,,Day Watch,-84.477129,33.790311,Monroe Heights,G,9,Part II,2,0df86c70-e552-49c2-a4c0-f258dbcda0d5,-84.4771289999999,33.790311
346857,232761416,10/3/2023 9:00:41 PM,10/3/2023 8:37:00 PM,10/3/2023 8:53:00 PM,Tuesday,3,6,607,551 MORELAND AVE SE,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.349608,33.739135,Ormewood Park,W,1,Part II,,c2319aa3-8dd6-4ace-a99c-f0c40da34d0a,-84.349608,33.739135
345409,232761114,10/3/2023 9:02:11 PM,10/3/2023 4:43:00 PM,10/3/2023 9:02:00 PM,Tuesday,3,3,303,565 WELLS ST SW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.406343,33.740138,Mechanicsville,V,4,Part I,1,765e566b-f4a0-4709-b70e-12a507190934,-84.4063429999999,33.7401380000001
346322,232761063,10/3/2023 9:08:12 PM,10/2/2023 11:00:00 PM,10/3/2023 1:30:00 AM,Monday,2,5,504,871 3RD ST NW,Parking/ Drop Lot/ Garage,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.408956,33.779457,Marietta Street Artery,E,3,Part II,2,16507a55-1c86-4da3-82b3-e6026503eef4,-84.408956,33.779457
346323,232761155,10/3/2023 9:09:28 PM,10/3/2023 6:29:00 PM,,Tuesday,3,3,303,259 RICHARDSON ST SW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.397414,33.741159,Mechanicsville,V,4,Part II,,e22a77f8-4872-4583-8dec-ce2d790785b6,-84.397414,33.741159
346324,232741300,10/3/2023 9:19:38 PM,10/1/2023 10:38:00 PM,10/1/2023 10:40:00 PM,Sunday,1,6,611,1534 FOREST LAKES AVE SE,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.312698,33.744586,The Villages at East Lake,O,5,Part I,1,efc56881-e37f-48a7-a0a9-539a16c2a4fc,-84.312698,33.744586
350838,232761378,10/3/2023 9:25:14 PM,10/3/2023 12:00:00 AM,10/3/2023 6:30:00 PM,Monday,2,6,613,1347 NORTHVIEW AVE NE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.357247,33.791586,Morningside/Lenox Park,F,6,Part I,1,f91efc3b-9fdc-47b8-8492-8df415a21e46,-84.357247,33.7915860000001
346684,232761452,10/3/2023 9:25:41 PM,10/3/2023 8:46:00 PM,10/3/2023 9:43:00 PM,Tuesday,3,6,606,220 BILL KENNEDY WAY SE,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Evening Watch,-84.3575,33.744541,Reynoldstown,N,5,Part I,1,70c8acf7-05dd-458a-a8b9-4a74aab77e4a,-84.3575,33.744541
346858,232761390,10/3/2023 9:34:23 PM,10/3/2023 8:20:00 PM,10/3/2023 10:20:00 PM,Tuesday,3,4,402,590 CASCADE AVE SW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.434472,33.738254,West End,T,4,Part II,,7909bf08-d147-4e91-b51b-e9c8c02ea080,-84.434472,33.738254
346685,232761443,10/3/2023 9:36:27 PM,10/3/2023 8:44:00 PM,10/3/2023 9:36:00 PM,Tuesday,3,5,510,PRATT ST SE / COCA COLA PLZ NW,Highway/ Road/ Alley/ Street/ Sidewalk,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.379839,33.752784,Downtown,M,5,Part II,1,867fb44d-4b36-4790-ac65-0b2fc61ff290,-84.3798389999999,33.7527840000001
345874,232761401,10/3/2023 9:50:10 PM,10/2/2023 7:00:00 PM,10/3/2023 2:30:00 AM,Monday,2,5,503,1041 W PEACHTREE ST NE,Parking/ Drop Lot/ Garage,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.38746,33.783055,Midtown,E,2,Part I,1,61d95756-1eca-4c10-91e7-f52744199d55,-84.38746,33.783055
346362,232760601,10/3/2023 10:02:07 PM,10/3/2023 4:00:00 AM,,Tuesday,3,5,503,950 W PEACHTREE ST NW,Government/ Public Building,23C,Shoplifting,PROPERTY,N,,,Morning Watch,-84.388113,33.780059,Midtown,E,2,Part I,,af7a2519-d284-4ce8-b3c5-16dad3f8dd3e,-84.388113,33.7800590000001
346654,232761514,10/3/2023 10:12:16 PM,10/3/2023 9:14:00 PM,10/3/2023 10:12:00 PM,Tuesday,3,4,402,590 CASCADE AVE SW,Convenience Store,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.433144,33.737504,West End,T,4,Part II,1,e021046b-cd74-4eef-aa98-8cb5e1d27220,-84.433144,33.7375040000001
346325,232761473,10/3/2023 10:13:39 PM,10/3/2023 8:58:00 PM,10/3/2023 9:35:00 PM,Tuesday,3,3,304,565 HANK AARON DR SW,Parking/ Drop Lot/ Garage,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.389983,33.737698,Summerhill,V,1,Part II,1,690839de-7258-4cc5-baec-8cf615a0c58d,-84.389983,33.7376980000001
350839,232761028,10/3/2023 10:20:59 PM,10/3/2023 5:13:00 PM,,Tuesday,3,5,503,950 W PEACHTREE ST NW,Grocery/ Supermarket,23C,Shoplifting,PROPERTY,N,,,Day Watch,-84.387573,33.780159,Midtown,E,2,Part I,,e6dd05c9-e377-478a-b6c2-6c6e81b6029a,-84.387573,33.780159
345410,232761266,10/3/2023 10:23:30 PM,10/1/2023 10:30:00 PM,10/2/2023 11:00:00 AM,Sunday,1,4,401,960 RALPH D ABERNATHY BLVD SW,Church/ Synagogue/ Temple/ Mosque,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.419149,33.737629,West End,T,4,Part I,,9d6a957e-a018-496e-bd72-0032e1272dcf,-84.4191489999999,33.737629
346686,232761296,10/3/2023 10:26:43 PM,10/3/2023 6:45:00 PM,10/3/2023 7:15:00 PM,Tuesday,3,5,504,484 CENTENNIAL OLYMPIC PARK DR NW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.392011,33.767443,Downtown,M,4,Part I,1,fea3e77f-6003-4a67-894d-e9b03323e4cf,-84.392011,33.7674430000001
